trade_date,symbol,isin,series,instrument_name,open,high,low,close,last_price,previous_close,volume,turnover
2026-08-07,SUPREME,INE822E01011,EQ,SUPREME HOLDIN N HOSP I L,45.25,46.46,45.25,45.5,45.5,45.82,3896,178046.87
2026-08-07,SUPREMEIND,INE195A01028,EQ,SUPREME INDUSTRIES LTD,3477.0,3477.0,3415.3,3442.0,3442.0,3477.0,177284,609638259.4
2026-08-07,SUPREMEINF,INE550H01011,EQ,SUPREME INFRA. LTD.,92.75,93.19,90.15,91.36,92.21,92.75,34219,3152436.17
2026-08-07,SPLPETRO,INE663A01033,EQ,SUPREME PETROCHEM LIMITED,700.0,707.6,693.4,701.45,703.0,702.65,35263,24787734.6
2026-08-07,SUPREMEPWR,INE0QHG01026,SM,SUPREME POWER EQUIPMENT L,208.0,210.0,204.0,205.1,205.0,210.75,40500,8388825.0
2026-08-07,SUPRIYA,INE07RO01027,EQ,SUPRIYA LIFESCIENCE LTD,891.7,928.0,891.7,923.45,928.0,890.85,234139,214449117.75
2026-08-07,SURAJEST,INE843S01025,EQ,SURAJ ESTATE DEVELOPERS L,204.06,205.25,191.22,201.61,205.0,204.06,127987,25707934.85
2026-08-07,SURAJLTD,INE713C01016,EQ,SURAJ LIMITED,219.18,222.58,218.0,221.9,221.9,218.68,107,23728.13
2026-08-07,SURAKSHA,INE877V01027,EQ,SURAKSHA DIAGNOSTIC LTD,250.05,253.85,247.0,249.55,248.5,250.75,20821,5202149.3
2026-08-07,SURANASOL,INE272L01022,EQ,SURANA SOLAR LIMITED,28.09,28.23,26.16,26.57,26.68,27.62,64986,1758379.63
2026-08-07,SURANAT&P,INE130B01031,EQ,SURANA TELECOM AND POW LT,17.9,18.3,17.7,17.84,17.7,17.97,67034,1213439.95
2026-08-07,SURANI,INE01ZJ01015,SM,SURANI STEEL TUBES LTD.,99.05,99.2,99.05,99.2,99.2,99.0,600,59490.0
2026-08-07,SBGLP,INE05ST01028,EQ,SURATWWALA BUS GROUP LTD,26.35,26.35,24.5,24.93,25.3,25.37,5418,135343.24
2026-08-07,SURYAROSNI,INE335A01020,EQ,SURYA ROSHNI LTD,250.99,258.5,249.02,252.35,252.59,250.73,915743,233014292.14
2026-08-07,SURYALAXMI,INE713B01026,EQ,SURYALAKSHMI COT MIL LTD,59.55,61.08,59.55,60.22,60.0,58.85,7214,434752.81
2026-08-07,SURYALA,INE132C01027,EQ,SURYALATA SPINNING MILL L,399.95,405.0,396.5,398.9,398.15,399.6,259,103681.7
2026-08-07,SURYODAY,INE428Q01011,EQ,SURYODAY SMALL FIN BK LTD,163.14,164.9,161.16,162.02,161.51,162.62,577727,93939835.74
2026-08-07,SUTLEJTEX,INE645H01027,BE,SUTLEJ TEXT & INDUS LTD,40.0,40.44,38.42,38.54,38.5,40.44,58626,2270050.25
2026-08-07,SUVEN,INE495B01038,EQ,SUVEN LIFE SCIENCES LTD,313.0,324.25,312.0,318.4,315.0,317.8,486776,155132106.8
2026-08-07,SUVIDHAA,INE018401013,EQ,SUVIDHAA INFOSERVE LTD,2.53,2.8,2.53,2.59,2.6,2.58,116592,302037.87
2026-08-07,SUYOG,INE442P01014,EQ,SUYOG TELEMATICS LIMITED,850.0,884.9,845.0,880.45,878.0,862.55,41570,36172141.75
2026-08-07,SUZLON,INE040H01021,EQ,SUZLON ENERGY LIMITED,48.09,48.99,47.95,48.15,48.15,48.1,52362545,2537930534.68
2026-08-07,SVPGLOB,INE308E01029,BE,SVP GLOBAL TEXTILES LTD,3.75,4.0,3.75,3.9,3.93,3.81,145667,576647.16
2026-08-07,SWANCORP,INE665A01038,EQ,SWAN CORP LIMITED,308.75,312.4,307.15,308.05,308.15,310.9,490454,151626377.0
2026-08-07,SWANDEF,INE542F01020,BE,SWAN DEFENCE N HEVY IND L,2680.0,2735.0,2649.0,2694.9,2690.0,2649.0,20021,54236956.8
2026-08-07,SWARAJENG,INE277A01016,EQ,SWARAJ ENGINES LTD,3594.8,3608.6,3577.0,3600.4,3602.7,3595.8,5398,19404249.9
2026-08-07,SWARAJ,INE0GMR01016,SM,SWARAJ SUITING LIMITED,362.35,367.0,354.0,356.1,354.0,360.5,271000,97201450.0
2026-08-07,SWELECTES,INE409B01013,EQ,SWELECT ENERGY SYS LTD,655.0,676.4,655.0,670.6,670.0,663.3,35012,23468685.35
2026-08-07,SWIGGY,INE00H001014,EQ,SWIGGY LIMITED,288.9,288.95,278.25,280.75,280.75,288.65,26303196,7417723592.85
2026-08-07,SYMPHONY,INE225D01027,EQ,SYMPHONY LIMITED,652.4,657.9,651.05,654.05,652.0,652.4,45198,29612073.6
2026-08-07,SYNCOMF,INE312C01025,EQ,SYNCOM FORMU (I) LTD,13.14,13.49,13.11,13.45,13.48,13.18,1884367,25170281.78
2026-08-07,SGIL,INE00QT01015,EQ,SYNERGY GREEN IND. LTD,600.0,604.0,595.2,603.3,600.0,597.1,9026,5421029.6
2026-08-07,SYNGENE,INE398R01022,EQ,SYNGENE INTERNATIONAL LTD,399.2,412.2,397.85,403.7,400.65,399.75,2260564,915060403.55
2026-08-07,SYRMA,INE0DYJ01015,EQ,SYRMA SGS TECHNOLOGY LTD,1413.9,1434.0,1407.5,1424.7,1420.0,1418.0,509551,724133212.4
2026-08-07,SYSTANGO,INE0O7R01011,SM,SYSTANGO TECHNOLOGIES LTD,211.0,214.0,209.35,210.45,210.0,211.8,16000,3381460.0
2026-08-07,SYSTMTXC,INE356B01024,BE,SYSTEMATIX CORP SERVICE L,59.0,60.8,59.0,60.5,60.5,59.55,7676,464288.07
2026-08-07,TTL,INE592B01024,EQ,T T LIMITED,6.28,6.39,5.7,5.81,5.86,6.28,736313,4315770.38
2026-08-07,TAALTECH,INE524T01011,EQ,TAAL TECH LTD.,4180.0,4696.0,4060.1,4489.3,4464.0,4110.2,69693,314080321.7
2026-08-07,TAC,INE0SOY01013,SM,TAC INFOSEC LIMITED,513.15,520.0,504.9,511.05,506.0,510.7,27600,14145180.0
2026-08-07,TAINWALCHM,INE123C01018,EQ,TAINWALA CHEMICAL AND PLA,207.0,209.96,205.0,207.5,206.0,206.16,4292,891169.95
